word,recording,time (s),context
To,salon-094,115,spressionist. When you say you are To further this philosophical ap
To,salon-096,3024, we did here about a year ago with To expressionist artists in a me
To,salon-098,1189,"ed it. It might be interesting to, To… to… to see it, that… to see "
To,salon-104,1749,"rn Art. They ran a competition to, To, you know, to have artists wo"
To,salon-105,1887,"ou know, whatever the platform is, To make it, and, also to make sp"
To,salon-107,4926," role as an artist is. To sort of, To walk the tightrope without a "
To,salon-108,3122,l that sense of it was an honor to To work on this project. Working
To,salon-110,4006," I'm looking forward, you know, to To getting involved with that, s"
My,interview-027,825,very important influential part of My family and the culture that I
My,interview-027,958,ew up in a house full of music and My mom was always dancing Jitter
My,interview-027,958,"cing Jitterbug in the kitchen, and My dad, I grew up on the racetra"
My,interview-027,2832,There might My long-term collaborators. All 
My,interview-028,118,"'s just been, you know, part of my My being for as long as I can re"
My,interview-028,4182,nd of relates to the maybe it's my My sensitivity to having sort of
My,roundtable-005,3002," of what I'm working on as well as My! My moving image work, which "
My,roundtable-006,567,"ided to retire and pursue art, and My whole life, you know, when I "
My,roundtable-006,1153,"ent. But, back then, you know, my, My doctors at the Cleveland Clin"
My,salon-077,6132,"in another way. So this, again, is My limit in knowing What works b"
My,salon-082,1997,ive and storytelling in some of my My work. And so I moved on to th
My,salon-090,2906,1. By the time I finished doing my My presentations I made the rock
My,salon-093,3161, maybe I'd talk a little bit about My work and how this Came about.
My,salon-093,3584,k everyone for having us today and My colleagues for helping out so
My,salon-099,275,egrate The science of my life into My community while serving a fun
My,salon-101,2762," I like making that evident within My work here, you see both, a pa"
My,salon-101,2762,"llage, and why I like to put it in My viewings is the way that the "
My,salon-107,1506,"and then I'll talk freely, but, on My highlights, I have this story"
Just,roundtable-005,1202,"and her other ones, and there were Just surrounded by that. And also "
Just,roundtable-005,2344,y Significantly better than it was Just in the last little bit very r
Just,salon-079,444,"ort of it, and it's struggling and Just as as a human struggles when "
Just,salon-082,2874,"ng how intricate your work is, and Just how evocative that ends up be"
Just,salon-084,1664,cess sometimes instead of just the Just the actual work. And and this
Just,salon-087,5549,"virtual 3D. Space of 3D. Apps is a Just, an amazing escape. You kind "
Just,salon-088,4158, students to modify the colors and Just to go. Some of these are labe
Just,salon-092,5582, close the recording out in in the Just to to keep the time limited. 
Just,salon-095,0,"rformance and performance, art and Just starting to work with technol"
Just,salon-098,614,"ive a historical perspective, and, Just felt the need to paint. Obvio"
Just,salon-100,207,"ape, used a desert vegetation, but Just incredible. So, I wanted… Sha"
Just,salon-101,3673,", see the… Exhibition. So, I have, Just a teaser of it here. And I ma"
Just,salon-102,6244,"e what we think of as science, or, Just the kind of, you know, even t"
Just,salon-104,4087,"art that's presupposing that it is Just another, you know, another na"
Just,salon-105,1887,"m drag. Bending gender norms, and, Just all sorts of fashion styles. "
Just,salon-105,1887,"hat I've been getting from that is Just as, like, being intentional. "
How,interview-010,2088,ersus how do we actually build our How am I as a human or as a perso
How,roundtable-006,1713,"ntioned, he was talking then about How technology, or how… how a mov"
How,salon-077,3615, of the shapes they would take and How long they would last. And als
How,salon-077,9373,"e fact that the learning curve for How various members might be, you"
How,salon-078,4571,"mandarin because of this shift, in How many words it takes to get a "
How,salon-078,4841,g things that you showed before is How people will take what you wer
How,salon-080,2372,"g people to think about money, and How we think about money is, you "
How,salon-089,1696, in the U.S.A. He is fascinated by How waters of coastal and open oc
How,salon-090,4881,"in this community. With regards to How technology has been used, how"
How,salon-093,4879,"ck. I've been in digital media for How long? Colin? Maybe 30, 35 yea"
How,salon-096,4129,hen also get people to think about How they might relate that to the
How,salon-101,1022,"reat, so people can get a sense of How, sort of diverse the geograph"
How,salon-101,1967,"in terms of the sort of outrage of How could this be, you know, $25 "
How,salon-102,4920,"hat. So, yeah, so the question is, How do you understand what kind o"
How,salon-108,3842,"t just really was another level of How the group can interface with,"
What,interview-027,2140,nce of being inside of them is the What is generating this empathy of
What,roundtable-006,2283," about having, you know, having a, What, a journal or an almanac, whi"
What,salon-079,444,d out a bit and started looking at What I think of is as the The comp
What,salon-079,4271,sentially making up the theory for What is going on in our art forms.
What,salon-081,785, to bring into this was a sense of What if we add a 3D. Element to it
What,salon-081,3541, of all over the place in terms of What I do with my work. So when we
What,salon-087,3560, had a lot of thinking to do about What kind of work I wanted to put 
What,salon-087,6110,appy to participate in this and to What happened. Thank you so very m
What,salon-088,1722,"touched on it in the comments, but What I think some of us are partic"
What,salon-088,1789,at she's dreaming of that. This is What this drawing actually means i
What,salon-099,275,"eated it. So let's take a look at, What I saw when I first encountere"
What,salon-099,4628,"d of eerie, fictional pieces about What our future might look like if"
What,salon-105,1887,"e from the gameplay? What kind of, What kind of mechanics?"
What,salon-106,1529,"he idea is basically that you can, What I call live animation. You ca"
What,salon-109,537,"e… this is the project. These are, What you're looking at is a recent"
For,interview-028,3930,So we wanted to create a space for For community and for discussion 
For,salon-033,1865,"ive out the people our profits for For what, you know, That makes an"
For,salon-053,4806,"spect to do with the marketing but For us, to find a way to get some"
For,salon-077,10260,"don't know how much space there is For the name on the door, so that"
For,salon-082,5584,obably ready to wrap things up for For the presentation. And I Ap. I
For,salon-087,3248,"Hello, rehearschel, and thanks for For calling me, and have the oppo"
For,salon-090,1015,lptures that they are created from For historical information that y
For,salon-090,2505,I was asked to curate exhibits and For the one in the the early 1990
For,salon-094,2694,Alright. Thanks so much. Yuga for For sharing about the installatio
For,salon-095,1505,"e here's America. But why I see my For you on park board, do you Met"
For,salon-095,1505,erse. And so I think it is kind of For those who choose to. I think 
For,salon-098,4676,"like, it's not digital media, but, For sure, we have a section for a"
For,salon-105,1887," you, A way that is beneficial for For the sake of you as your immat"
For,salon-109,67,"e actually comes together, because For some of my video art, I neede"
Like,roundtable-005,2583,"ience and then taking it back into Like pro everything I do, even eve"
Like,salon-082,4092," creating that in conjunction with Like, as you were writing, you wer"
Like,salon-095,1505,bout the digital is kind of like a Like reason. Single is like thousa
Like,salon-095,1505,"ally something complicated, like a Like she was in New York. What is "
Like,salon-097,2058,", you can change the particle, and Like as a generic shape, like a ci"
Like,salon-102,2740,"econdary sculpture underneath, and Like, mythology… to kind of, like,"
Like,salon-103,2825,"t afterwards. So, fast forward to, Like, when, I don't know, last yea"
Like,salon-105,1887,"es, like. Stop Ocean, or play, or, Like, collaged in, like, the visua"
Like,salon-105,1887,"games, like. I had to think about, Like, what do we want our players "
Like,salon-107,1308,"ally, you know, drawing on top of, Like, ink wash and stuff like that"
Like,salon-108,3122," right decision, because this is a Like, I say, this will have signif"
Like,salon-108,4073," New York, and before he went into Like, I guess, postgraduate academ"
Like,salon-110,241,"y, like, directly be involved with Like, talking about process, why d"
Like,salon-110,4738,"uld have just loved, loved to have Like, all the students learn from "
As,interview-028,3318,wing and evolving along with me is As well as with the technology.
As,roundtable-006,2725, exhibition to get another kind of As much as you could have a tact
As,salon-079,444,n there was just as much detail as As if as the the images that I w
As,salon-079,2137,"on't know if you can see this, but As you can see, I'm a piano arti"
As,salon-081,1048,er. Give me 1 s. I'm gonna pad her As I type in my password and try
As,salon-081,4513," it's a really amazing to have her As an advocate. She's, you know,"
As,salon-085,518,"e know, the vanishing point is, is As it is, we're looking from our"
As,salon-099,5165,"aling with directly in the park as As everybody's been saying, we'r"
As,salon-102,2740," the jackals are very visible, and As part of… and of course, part "
As,salon-105,675,"aligned with… and brainwaves… and, As well as the colors on the scr"
Have,salon-030,2721,", please hit me up. Can talk about Have you first heard about the, yo"
Have,salon-035,84,e and its history and then also to Have private chats with some of yo
Have,salon-077,10049,beriana for the launch would be to Have your name. The image that you
Have,salon-079,4533,spect for it. But To see a kind of Have sort of a moment has been bee
Have,salon-082,4985,"he middle. There, we don't have to Have our opening reception on the "
Have,salon-093,1873,on is going to be sorry. I need to Have something here to show pictur
Have,salon-095,0," my question to everybody here is, Have you experienced this in the p"
Have,salon-100,3097,. And good in this presentation to Have another look at your wonderfu
Have,salon-100,3515,"on Zoom, it would be great to have Have music with it, and Stephen Pe"
Have,salon-108,836,was gracious enough to allow us to Have a detail I thought might be g
Not,roundtable-005,2425," I like that. I like that sense of Not wanting things to get stale, "
Not,salon-014,2524,"l the platforms or do you know, or Not some platforms offer royaltie"
Not,salon-018,2965,ng to me because I usually kind of Not that I wasn't aware of the au
Not,salon-078,4841," able to mix the words around, and Not only change the meanings, but"
Not,salon-079,1601," and also, this is sorry about the Not great picture on the right th"
Not,salon-079,4313,"ation, not as as photographic, but Not everyone agrees."
Not,salon-089,4094,"Yeah. So yeah. Blown away by the Not only the artistry, but just a"
Not,salon-099,1230,"gular onslaught of people who have Not only tear gas guns, but the a"
Not,salon-099,2564," you see here, that was our way to Not attack any audience member pe"
Not,salon-110,185,"n track, and… and hopefully I can, Not go too much over. But… Ariel,"
Very,salon-079,4333,Yes. There's a Very quick movement going on with 
Very,salon-083,3406,"nd kind of Thing, but it's lots of Very similar professional career t"
Very,salon-085,4224,"he shape of the elements alone and Very, very basic shadow. There are"
Very,salon-087,1876,TV. And also it is a fruit that is Very equivocal in terms of attribu
Very,salon-088,1283,"is world, which is very unseen and Very unseen to the world."
Very,salon-089,4011,"the catalog, I can do all kinds of Very powerful."
Very,salon-089,4732,en responses back from a couple of Very well known us museums they ca
Very,salon-093,1873,"I mean, it really does feel like a Very. Well-developed community, al"
Very,salon-099,576,last images where the butterfly is Very definitely taking on human fo
Very,salon-110,5620,"ngaging in various activities, and Very open-ended, so I think there'"
You,interview-003,3060,raise funds by selling posters and You know artists have real power 
You,interview-003,3119,"ere's tons of layering in here and You know, I like in this case I b"
You,interview-026,1658,"eel the same emotions? Thinking of You, 2001. In collaboration with "
You,interview-026,1658,rticipants on the web. Thinking of You explores the space between th
You,roundtable-002,1248,"e old places that were going to be You know, gentrified, I guess is "
You,salon-016,1338, my whole life and art history and You can see as I moves along thes
You,salon-023,290, way that then can be presented or You can see where I'm from. I'm o
You,salon-053,3151,sman. And this is a picture of the You can see some of the gestural 
You,salon-062,2235,"he best strategy? And is it like a You know, and I don't know what I"
You,salon-099,501,"encountered this image. I typed in You know, to… Certain stock phras"
On,interview-027,2832," thing, and then putting it on the On the blockchain, and saying, t"
On,salon-057,2670,"es. Yeah, I guess. Looks like your On my screen, you're frozen. Oh "
On,salon-077,8807,nd Tommy mentioned something about On the left hand side. You got t
On,salon-092,384,"at it looks as well, of course, on On the frame itself. I'm definit"
On,salon-097,3754,he raise hand tool which is on the On the zoom interface. They keep
On,salon-097,4685,"on on positions, but mostly on the On the the the color, the color."
On,salon-099,1886,"ry, and Spanish, and there we have On it, on the DJ poetry there wi"
On,salon-101,222,"ing would have been projected on a On a scale of… 12 feet across, a"
On,salon-105,1887," like, what parts am I playing on, On my turn, and, like, how does "
Being,salon-083,101,nd and I was heavily influenced by Being in a pandemic and trying to f
Being,salon-084,1664,"ng before about independence, from Being locked into making images or "
Being,salon-093,5173,I think that's just a great way of Being inclusive and not keeping it 
Being,salon-094,3606,"w, invisible, made visible kind of Being transformed all through techn"
Being,salon-095,1505, to it. So it is like a new way of Being in community. That's great. T
Being,salon-100,2496,r in Persian culture talking about Being in an uncertain state as we g
Being,salon-106,4462,hat my state in life is the joy of Being selective about where you go 
Being,salon-107,4926,"e, and Mario as well, in terms of, Being able to have a playground to "
Our,salon-070,276, did with them. Which featured our Our! Arnold Schwarzenegger. And h
Our,salon-079,1352,"re's cameras everywhere, either by Our own doing, with, you know, ou"
Our,salon-079,4533,of success there. Entities came on Our third exhibition. We were dec
Our,salon-082,111,"one was done in about 2,004 and as Our paint box has gotten more sop"
Our,salon-083,1140,"Current social situation and Our political season. In a way, i"
Our,salon-083,2434,hat we met our goal. We raise over Our goals. So we're approaching c
Our,salon-105,1887," well as, you know, talking about, Our own personal stories and iden"
Our,salon-106,1529,"ractive plastic, experiments with, Our corpus of images. Sometimes."
Really,roundtable-005,2060,ficulties and in specific areas to Really explore things like I did an 
Really,roundtable-005,2060,n to. You know that experience was Really great. Then I sort of went to
Really,salon-016,1338, Masking and colors and layers and Really started pushing the envelope 
Really,salon-082,3643,sentations today. All of them were Really fascinating their own way. An
Really,salon-085,3979,"d 250 foot environments, which was Really exciting for me, because I'd "
Really,salon-100,1095,"a drawing of me solely, and it was Really fun to hang out. So, overview"
Really,salon-101,3156,"ound, I can do that. So, yeah, and Really, you know… It's cool to see w"
Really,salon-107,715,"int the artwork, which is sort of, Really about enhancing ambiguity, an"
So,interview-001,1219," going to be the last layer of the So. Um, so that's kind of like w"
So,salon-012,3828,"le bit of a picture of the, of the So these are some of the paintin"
So,salon-016,1338,to dark and building up layers and So once I got into doing working
So,salon-021,258,his. I think that's a great way to So I wanted to continue explorin
So,salon-029,1505,ing. So I've been working with the So here in this piece it's the s
So,salon-035,84,ocial sculpture. Is in you all and So the fact that I can watch Col
So,salon-061,1685,u a little bit of a picture of the So let me just skip ahead here. 
So,salon-086,5244,h other people who are living with So I had a really interesting co
Some,salon-078,4382,"It's not like it's huge, but Some countries you would never gue"
Some,salon-079,1601,showing the work at where I have a Some wire frames that I drew of Do
Some,salon-080,1917,id not selling is kind of based on Some of what you see in like tradi
Some,salon-081,4886,'s about selling. I've already had Some of the people in the entertai
Some,salon-084,3992," our political, in our country and Some inner twining of the Environm"
Some,salon-102,1455,"ng here is a kind of prototype of, Some imagery, mixing together imag"
Some,salon-103,4810,"s, Asians, etc. Also, it, it is a, Some artists find that it's a smar"
Some,salon-107,4926,ay I like to look at it is because Some of this technology is very ad
Sort,salon-079,444,ng it. This this piece is a way of Sort of getting inside of that mem
Sort,salon-080,375,t and These pieces came to me in a Sort of a dream state. And then th
Sort,salon-081,502,"r me, I I wanted to take a look at Sort of the minimalist background "
Sort,salon-082,1997, have left for? And so that is the Sort of the gist of these 2 books.
Sort,salon-083,1140,"lso sort of an occasion for me for Sort of a. Oh, God! It's revenge! "
Sort,salon-094,1174," so, as you can tell, artists have Sort of utilize this unique struct"
Sort,salon-096,190,"at are also mothers, and we we are Sort of following the steps of the"
Sort,salon-109,5909,"itional after-party, which is our, Sort of advisory board meeting, ak"
An,interview-027,2832,And we made a VR project. That's a An opera murder project. I do mu
An,interview-028,2122,"r, and that it begins to recede as An idea of technology, and is so"
An,salon-033,1865,"an isn't actually here. She's from An old, old painting I found And"
An,salon-092,0,ided upon by their participants as An artistic approach in which te
An,salon-093,3161, iterative project that began with An image of the sound of a war j
An,salon-095,1301,this is kind of the 1st foray into An international area. We limite
An,salon-104,4365,", and I think that If there is an, An analogy that that… that is pr"
Come,interview-027,561,"o this one, I'm just gonna kind of Come at this from some different p"
Come,roundtable-005,517,"nterested in your work. You should Come, and I did, and the rest is h"
Come,roundtable-006,1153,"es that have, you know, that have, Come and gone, some still exist. A"
Come,salon-077,1650,t? And there's no way that you can Come any kind of value system base
Come,salon-080,1733,"n. So if you're a curator, you can Come in and filter through all the"
Come,salon-097,150,"his like, have a conversation, but Come back to it when you need it, "
Come,salon-108,3386,"e to SIGGRAPH should see that, and Come to our session. As well."
Is,interview-027,3782,l thing that I'm very attracted to Is just the strong community of 
Is,salon-083,5056,"e about him, since this is sort of Is commemorating his, you know h"
Is,salon-088,2058,er dress? Or am I making more than Is there.
Is,salon-095,1505,"hat has come with this movement is Is amazing. You know, and yet an"
Is,salon-105,1887,hing that's very interesting about Is that you… Reliant on collabor
Is,salon-110,2252,"ormation, and voila! The flyer is, Is made. So…"
Is,salon-110,4959,"exciting. One of my questions was, Is the idea to make a, it seems "
Kind,interview-027,4022,s a very Apt way of thinking about Kind of the.
Kind,interview-028,3135,"nk, a dimension of the word and of Kind of extending that as a name t"
Kind,salon-077,446,"ld Pull it out from the glass, and Kind of make a different compositi"
Kind,salon-077,10638,Or do you think you have enough to Kind of gets you going?
Kind,salon-102,2740,"ing a lot of cognitive aspects and Kind of, like, cognitive tricks ar"
Kind,salon-104,2815,"of, decision-making that goes into Kind of rethinking your whole appr"
Kind,salon-105,1887,"ean, really, what has needed to be Kind of doing a similar thing. The"
All,salon-082,1997,gist of these 2 books. And that is All I have to share for today. So
All,salon-087,836,"Joey For your amazing efforts, and All the hard work. He did so abou"
All,salon-087,4287,"e United States sounds like 95% of All the goods. And you know, it's"
All,salon-089,1696,"so going back generations prior to All, had studios in Provincetown."
All,salon-090,2906,. That was walled off from the the All. The equipment was walled off
All,salon-096,4955, make connections with people from All over through your ideas.
Be,roundtable-005,2818,y that comes along that's going to Be exciting and add another dime
Be,salon-079,4533," on top, so kind of like you would Be in a dark room. You know, add"
Be,salon-081,3178, really get used to compromise and Be generous in listening to thei
Be,salon-083,739,"ittle bit hesitant to you know, to Be added to it. Because, he said"
Be,salon-083,4391, might be happening on that day to Be here.
Be,salon-087,3560,it was time for people to come and Be at church and be in the mosqu
Create,salon-077,8304, you because you basically need to Create the account where you start w
Create,salon-078,2058, the digital technology to sort of Create a kind of fluid Authorship. R
Create,salon-079,1219,"e, why photography? Because it can Create this immediate participation "
Create,salon-082,4123, the there Often becomes a need to Create another image. So there is a 
Create,salon-084,2180, liked about that was that I could Create the logo with Ascii character
Create,salon-088,1789,"uture together, piece by piece, to Create something that she Really des"
Discussion,presentation-002,1168,"r for the inherent bias built into Discussion models. And finally, these te"
Discussion,presentation-002,3787,t we're using use what is called a Discussion model. And diffusion analyzes
Discussion,presentation-002,3972,"how large language models work and Discussion models work, you can still, a"
Discussion,presentation-003,2553,ppened over in Europe and they are Discussion art and science giving presen
Discussion,presentation-004,0,ns where artists come together and Discussion ideas and encourage each othe
Discussion,presentation-007,0,ns on Zoom and artists present and Discussion. We also have smaller groups 
It,interview-003,3221,h is something I coded in 1998 and It goes through all the years an
It,interview-021,3919,nd and and and and and and and and It has to be there for it to wor
It,presentation-003,1620,"machine and we took off. Well, and It changes one's life or you kno"
It,salon-022,2330, fact that it didn't have a lot of It didn't have for her nearly th
It,salon-026,5413,king at all. So I'm just trying to It has not because this is the f
It,salon-057,1515,hat fear happened for me which was It could happen for people And I
Maybe,interview-028,4053," The best thing is just to kind of Maybe be connected through social, "
Maybe,interview-028,4678," generative text, and just kind of Maybe a dearth of knowledge around "
Maybe,salon-080,1917," on. You have to be thoughtful and Maybe have a business plan, or some"
Maybe,salon-082,5191,nna you're close enough that I can Maybe drive somewhere and retrieve 
Maybe,salon-084,1747,And and Maybe onto some other people. How d
Maybe,salon-095,1505,ting comparison to think about the Maybe inner circle and outer circle
No,presentation-001,2396,"n the material. Okay. And you were No, I wanted to tag on to what R"
No,salon-079,3101,"em. But I just I loved the way the No exit sign came in, and here a"
No,salon-080,375,"it. And the gallery eventually was No longer happened, no longer wa"
No,salon-082,111,"e no one. And yes, he worked for a No kill shelter as a veterinary "
No,salon-082,4044,d it's in this flat space that has No.
No,salon-084,3207,are tons of little pig buttons and No dominion. It's it's a dollar 
One,salon-087,5171,urney. I'm excited to introduce my One of my latest digital painting
One,salon-088,4331,software. So that summer I went to One of the conferences. I went to
One,salon-093,3625,hink it's also the headquarters of One of the large hotel chains. Th
One,salon-096,190,k at this at this deal. So this is One of my one of the stills of my
One,salon-096,190,"ce in the gallery, and that led to One of my sort of final projects "
One,salon-106,2046,"ikhail Bora. And, he has shown at, One of our salons before. We're v"
That's,interview-028,3421,g out in real time. That's kind of That's a project that involves a lot
That's,roundtable-005,567,That's a That's actually a really interesting
That's,salon-043,2076,Government has been That's pathetic. Only 19.2% of all f
That's,salon-079,1219,"t experience of everyday life, and That's another wonderful phrase that"
That's,salon-082,3643,"y dealing with death and life, and That's, you know, the the essence of"
That's,salon-095,1505,"ionism, you know, it's coming from That's expressionist and a kind of e"
Things,interview-029,234,"ears ago, right? So this mixing of Things that I make with my hands and"
Things,salon-088,4048,"you look at a lot of her work, but Things. I thought of."
Things,salon-101,5014,", 3D models, so this is one of the Things I wanted to share with you."
Things,salon-107,1506,"like, trying to just get away from Things you could totally recognize, "
Things,salon-107,4800,"ose, I don't know, little kind of, Things that you can spark off, you k"
Things,salon-108,5395,"articipated in various events and, Things like that. They're a really i"
Where,salon-041,4162,That some of you are familiar with Where I use my own face And life Wh
Where,salon-083,1843,"V show. To signify and do a not to Where we are now in life, Being in "
Where,salon-090,1776,ere sort of the modern aversion of Where printing started. They had th
Where,salon-092,2485,And these images here of the Where for me of the universe ever b
Where,salon-094,2903,e colors really changed a lot from Where they 1st started to seeing th
Where,salon-110,2232," cool. And it really is building a Where I think people are, really bu"
Basically,salon-077,3,"io assistant for 30 years ago, and Basically learn silk screen printing ho"
Basically,salon-078,4906,ctive file. And then that would be Basically that would just be the buyer 
Basically,salon-097,2801,The waves and they're created were Basically utilize the same sort of thin
Basically,salon-097,4348,o. So Joseph has been working with Basically like they're described as com
Basically,salon-109,3923,"doing digital art for so long, and Basically, it's been sort of a tussle w"
Do,presentation-008,1491,. Yes. Like is like screenshots or Do you want to say anything abou
Do,salon-094,3606,", like everyone said we, we had to Do a lot of iterations and exper"
Do,salon-100,4631,"t loved him, that we went to, and, Do you have."
Do,salon-105,5235,", the tracker. In space, but… but, Do you think there's a… do you f"
Do,salon-110,914,"nd for everybody. I'd like cha to, Do you have a screen share that "
Let's,roundtable-005,948,"ut how this all began for you, and Let's start off. Let me. Let me poi"
Let's,salon-011,2610,tions. It's just a little bit of a Let's see the next. This is a an ex
Let's,salon-023,290,"ust start in with that and this is Let's see, I got to share screen to"
Let's,salon-078,2058," case it's actually playing off of Let's see, let's get it to play."
Let's,salon-084,1077,of session into depth. The idea of Let's see. Sorry The idea of A pict
Share,salon-081,502,"enix, Arizona. Let me go ahead and Share. My screen."
Share,salon-085,1553,"Verneta, were you able to get your Share to work? And, William, you're"
Share,salon-085,4590,"Okay, I have to stop the share and Share again. I'm really sorry. But."
Share,salon-087,3786,"ough with, that I might be able to Share a screen of the process that "
Share,salon-098,343,"ks so much. I just also wanted to, Share my screen real quick, so if a"
There's,salon-057,718,as a whole. It's a little bit of a There's a nod to the Belgian surreali
There's,salon-094,1174, the layout of the installation is There's many iterations of the layout
There's,salon-096,4129,"imple principle to start with, and There's a fractal quality when you lo"
There's,salon-101,3977,"ing. Let me see if I can find the, There's an image of… yeah, so this is"
There's,salon-106,3754,", Boras, the spiritual aspects of, There's so many interesting things ab"
These,interview-027,4022,", you know, to be to be taken from These different movements, and I th"
These,salon-080,375, had survived cancer treatment and These pieces came to me in a Sort o
These,salon-082,1997,. So this morning I was working on These other these other images. So.
These,salon-082,4354," society oftentimes, you know, has These, you know pronouncements abou"
These,salon-095,1505,"ly very interesting to me, because These are people that relate concep"
Us,salon-080,854,rtheast part of the country of the Us.
Us,salon-084,176,rt with the words like here in the Us. The Constitution it starts w
Us,salon-090,1015,mputers. A few universities in the Us. Had computer engineering pro
Us,salon-096,2088,"ke as much money as someone in the Us. Through, maybe crypto or som"
Us,salon-096,3730,"hings. It's the oldest part of the Us, you know, young by other cou"
Well,presentation-001,2774,"rb of New York City. It is about a Well, when I was a kid, it was abo"
Well,roundtable-006,1153,"everybody for having me, here, and Well, let's see here. My roots in "
Well,salon-056,3055,"e could continue talking about the Well, thank you very much. And and"
Well,salon-094,781,"he current exhibition, and we have Well, so from the left there John "
Well,salon-098,2034,". And then shortly thereafter, in, Well, actually, it was a little bi"
But,salon-008,2874, nothing wrong with doing that but But we're working with the medium
But,salon-016,1338,cepts about how to do painting and But I loved digital and I loved b
But,salon-025,1535, So this one has a little bit of a But you'll notice this one has th
But,salon-105,1887,", and, you know. Slowly to kind of But, yeah, I think it's really… T"
Completely,roundtable-005,2583,d times in my life where I have to Completely switch. Because I'm I'm kind 
Completely,salon-087,3560,"I'd never heard of them, and I was Completely surprised by the acquisition "
Completely,salon-096,4955,ists who participated today. I was Completely blown away by all of your wor
Completely,salon-109,3923,"ardy Artist, you know, and not be, Completely preoccupied with the technolo"
Get,roundtable-005,1462,and I also did a lot of reading to Get away from everybody else.
