word,times,recordings,suggestion,type,example (recording),example context
viscom,11,1,Viacom | viscous | viscose,likely misspelling / mishearing,salon-088," AI tools useful for jewelry design, such as Viscom, Leonardo.  AI, and Bing image Creator, and "
unshare,11,10,unsure | unshared | unswore,"check: unusual word, term or non-English",salon-010,one. And I think that's it. So I will try to unshare my screen here. I can figure out how to stop
morphic,11,4,morphia | morphemic | Orphic,likely misspelling / mishearing,salon-008,gree too. It's a language. And a language is morphic. Language grows. Brings things in from other
imovie,11,4,movie | iMovie | iMovies,likely misspelling / mishearing,salon-016,the Leap Suite.  I am learning and I'm using iMovie and Premiere. Just bought a new laptop so I 
glbs,11,1,gabs | gobs | gibs,"check: unusual word, term or non-English",salon-110, of the exhibition. So these are some of the GLBs I made from real pictures. I also created se
js,10,5,is | us,"check: unusual word, term or non-English",salon-010,it's creative coding using open processing P5JS language. And so it's incorporating a variet
idma,10,2,imma | idea | ima,"check: unusual word, term or non-English",salon-045,ve any information you could share about the IDMA show too.
vanitas,9,2,vanities | vanity's | Danita's,likely misspelling / mishearing,salon-077,"t, mapping. And here are several more of the vanitas in a Petri dish, and you know that vanitas i"
telerobotic,9,4,tele robotic | tele-robotic,likely misspelling / mishearing,salon-033,rico maresca gallery its key component was a telerobotic camera alice's eye and alice's eye was mount
jenna,9,2,Jenna | Jenny | henna,likely misspelling / mishearing,salon-034,d of the video we're going to get to that so jenna we're going to have to say for that so jenna
ity,9,7,it | its | qty,likely misspelling / mishearing,salon-008,e find my Instagram. Okay. Okay. Okay. Okay. ity. Just let the other members know where you'r
iphones,9,9,iPhones | iPhone's | phones,likely misspelling / mishearing,salon-013,n. I do a lot of video and present things on iPhones and iPads. I use the LED matrixes to present
fx,9,5,vex,"check: unusual word, term or non-English",salon-034,mint. But now you have object.com.  You have FX hash. I think is the latest one. I mean obje
flipbook,9,2,flip book | flip-book,likely misspelling / mishearing,salon-089,is something that I'd never seen before in a flipbook.  And it's a way that video can be incorpora
colour,9,7,color | cooler,likely misspelling / mishearing,salon-042,d forms that I used are very lush. And I use colour expressively. I use it extravagantly. And it
oldtape,8,1,old tape | old-tape,likely misspelling / mishearing,salon-020,of thing you're gonna get in the case of the oldtape. And that's the kind of thing you're gonna g
diamondscapes,8,7,diamonds capes | diamonds-capes,likely misspelling / mishearing,salon-009,the 911 memorial museum it's one of my first diamondscapes about finding hope when all is lost and I ta
degrasse,8,5,deGrasse | degrease | degreases,likely misspelling / mishearing,salon-038,and this book I was lucky enough to get Neil deGrasse Tyson. To write the forward for the book. So
alhambra,8,2,Alhambra,likely misspelling / mishearing,salon-068,"ening in Islam. You know, take a look at the Alhambra, take a look at what was going on in China a"
skelly,7,2,Kelly | Shelly | smelly,likely misspelling / mishearing,salon-031,"ly, that's a good place we'll go we'll go to Skelly bots. So, I've started doing a lot of digita"
neo-expressionist,7,6,net-expressionist | ned-expressionist | nee-expressionist,likely misspelling / mishearing,salon-020,I'm doing a lot of study of the you know the neo-expressionist movement you know like what you were involve
neo,7,7,new | net | nee,"check: unusual word, term or non-English",salon-020,"t work, but I wanted, it was also the age of neo expressionism, late seventies and early eigh"
munich,7,3,Munich | munch,likely misspelling / mishearing,salon-024,"bs and, like, our record label is owned by a munich. It's like a munich company. We're like a mu"
ipod,7,4,iPod | pod | bipod,likely misspelling / mishearing,salon-021,"id I get to digital? Well, in 2010, I had an iPod Touch and I found that I could hold it in th"
gen,7,6,get | ten | gee,"check: unusual word, term or non-English",salon-030,o look at art with fresh eyes by providing a Gen Z female perspective of a woman depicted in 
einstein's,7,5,Einstein's | Feinstein's | Weinstein's,likely misspelling / mishearing,salon-042,scientist Emmy Noether mathematically proved Einstein's theory of relativity. She changed quantum ph
crit,7,4,grit | crib | writ,"check: unusual word, term or non-English",salon-049,"e for our salons to do sort of an old school crit, you know, and have people sign up in advanc"
wordpress,6,5,Wordpress | warders | word press,likely misspelling / mishearing,salon-008,"ge. Yeah, totally. And there's a lot of nice WordPress plugins too, that allow you to embed playlis"
sumi,6,4,semi | sumo | sums,"check: unusual word, term or non-English",salon-015,h of work that I did during grad school with sumi inc and sort of based around the idea of sho
sofia's,6,1,Sofia's | Sonia's | sofas,likely misspelling / mishearing,salon-015,going from. What is it? Basically going from Sofia's from my piece. Then morphing into Sofia's pi
presup,6,6,press | pressure | prep,"check: unusual word, term or non-English",salon-019,st do here here's a very quick video of that presupích So that gives you an idea of that.  That 
porth,6,1,porch | worth | north,likely misspelling / mishearing,salon-050, that's do you have one more question at the porth dollars in and the porth fall at the porth d
plein,6,4,plain | Klein,likely misspelling / mishearing,salon-009,"ike, why am I using this as opposed to doing plein air watercolor, which I'm personally perfect"
nother,6,5,another | mother | other,likely misspelling / mishearing,salon-050,d going into Kuntz Matrix. So that's a whole nother medium going online into the museum interfac
alice's,6,3,Alice's | slices | slice's,likely misspelling / mishearing,salon-033,y its key component was a telerobotic camera alice's eye and alice's eye was mounted on a wireles
yous,5,3,you | your | yours,likely misspelling / mishearing,salon-021,s what I have. And here are some of my thank yous. Basically everybody here today gets a thank
unlockable,5,3,unlock able | unlock-able,likely misspelling / mishearing,salon-012,interesting about Rarible is it accommodates unlockable content. So you can provide a URL which gets
transmedia,5,5,,"check: unusual word, term or non-English",salon-099," separate, such as, you know, games, VR, AR, transmedia storytelling, web, theater, dance, and, you "
transhumanism,5,1,,"check: unusual word, term or non-English",interview-028,"t online. You know you have this interest in transhumanism, and I was kind of wondering if you could so"
skele-bots,5,2,stele-bots,likely misspelling / mishearing,salon-031,hese things are just fun. I think about like skele-bots. It's just that art. It shows skill and show
semic,5,3,semi | semis | semi's,likely misspelling / mishearing,salon-009," the Codex Seraphinist, that, you know, is a semic, you know, with, you know, that's kind of be"
recontextualize,5,4,decontextualize,likely misspelling / mishearing,salon-020,has new tools to describe it they can almost recontextualize the work and yeah that's a little mind-blowi
nipdicks,5,2,,"check: unusual word, term or non-English",salon-068,"o work. So these are, I call them the CanCon nipdicks. That's what we, CanCon is the word that the"
neo-expressionists,5,5,net-expressionists | ned-expressionists | nee-expressionists,likely misspelling / mishearing,salon-014,"y for us to you know who might be considered neo-expressionists, not working with technology, but certainly "
neo-expressionism,5,5,net-expressionism | ned-expressionism | nee-expressionism,likely misspelling / mishearing,salon-014,eptually I'd like to think it picks up where neo-expressionism leaves off that is you know artists like bos
neftorian,5,5,Nestorian,likely misspelling / mishearing,salon-030,"  So I put the link in the chat. It's called Neftorian. Possibly in a couple weeks, maybe I'll like"
mycography,5,2,,"check: unusual word, term or non-English",salon-021,"with some gradients.  The manuscript has the mycography, little writing, which conceptually is like "
monoprints,5,4,mono prints | mono-prints,likely misspelling / mishearing,salon-012,nd of played around with the idea of digital monoprints on canvas. But nothing really felt right unt
kun's,5,1,runs | Ken's | sun's,"check: unusual word, term or non-English",salon-009,wanted to contribute or just having had used kun's matrix also I was just gonna mirror that kin
gigapixel,5,5,,"check: unusual word, term or non-English",salon-017,"and that is really tough. Yes. Yes. So I use gigapixel from Topaz Labs.  And it, it takes some prac"
diamondscape,5,4,diamonds cape | diamonds-cape,likely misspelling / mishearing,salon-009, switch to chrome to just go inside here's a diamondscape it's at a museum there's a picture of me and
crits,5,5,cries | grits | crates,likely misspelling / mishearing,salon-088," I did all of the software teaching in group Crits, I mean. So you'd bring it up. And I'd say, "
un-american,4,2,un-American | un-americas | un-americano,likely misspelling / mishearing,salon-015,seum contexts and this is another one called un-American Unfamous was positing the idea that it's un-
threed,4,2,three | thread | threes,likely misspelling / mishearing,salon-077,e to show this is the fun of navigating in a threed space. But A.  As I get. Closer to the wall 
texpressions,4,1,expressions | expression's,likely misspelling / mishearing,salon-034,twitter account which is under the handle at texpressions and that twitter account has a!  Banner that
soundcloud,4,2,Soundcloud | sound cloud | sound-cloud,likely misspelling / mishearing,salon-011,"e loud parts. So, and if you've ever been to SoundCloud or even just typed in Soundwave art, that's "
sheroes,4,2,heroes | sherries | she roes,likely misspelling / mishearing,salon-029,"lture, cultural issues on championing unsung sheroes which is something I'm very involved with no"
savantism,4,1,savants,likely misspelling / mishearing,salon-037,"uired savant, and a cynist. What is acquired savantism? Some might know, some might not. But basica"
sai,4,3,as | saw | say,"check: unusual word, term or non-English",salon-010,a is very similar to Photoshop or Paint Tool Sai or any other... A piece of digital painting 
rumore,4,2,rumors | rumor | rumored,likely misspelling / mishearing,salon-018,"ou're seeing there are what he called intono rumore, or sound generators. And the audience was f"
prokofiev's,4,2,,"check: unusual word, term or non-English",salon-057,"ion that I made in 2,021. The title of it is Prokofiev's cave and it's about losing your mind, losing"
phil,4,2,Phil | phi | pail,likely misspelling / mishearing,salon-093, reason that I chose to do this work is that Phil. His whole life was a very early transplant 
panoramics,4,3,panoramic,likely misspelling / mishearing,salon-015,o. So I had another show with another set of panoramics and printed those on. Okay. Printed this pan
obscura,4,4,obscure | obscurer,likely misspelling / mishearing,salon-033,d the following is from an article in Camera Obscura Journal 2020 telepathic brainwave drawings w
neuro,4,3,near | Nero | euro,"check: unusual word, term or non-English",salon-083," my Galileo series. Cardboard box, a ceramic neuro frame. Now. Vinchets netting is a vegetable "
muchas,4,4,mochas | mutes | much-as,likely misspelling / mishearing,salon-018,the collab project going you know definitely muchas gracias on that no problem I like to think o
marissa,4,2,Marisa | Larissa | Carissa,likely misspelling / mishearing,salon-037,r the internet and a colleague of mine named Marissa Olson did these pieces where she did drawing
machinima,4,1,,"check: unusual word, term or non-English",salon-106,"scans of big baobab trees. And I created the machinima, liquid forest, with a song creation of Gaël"
kilovoltage,4,1,kilo voltage | kilo-voltage | kilovolt age,likely misspelling / mishearing,salon-032, CT scanning mode. That means you have a low kilovoltage acquisition blended with a high kilovoltage 
ities,4,3,ties | cities | sties,likely misspelling / mishearing,salon-012,you'll see that these are the results of the ities.. These are things that you would never see 
guernica,4,1,Guernica,likely misspelling / mishearing,salon-035,. This was a very interesting one I typed in guernica as a street fight. And I don't know whether 
garde,4,4,grade | garden | grad,likely misspelling / mishearing,salon-022,"oned cubism, photography. Being in the avant garde is actually where you want to be, I think, I"
fidgetal,4,1,fidget | fidgets | fidgety,likely misspelling / mishearing,salon-098,e artist list is there. And today's topic is Fidgetal.  And I'll just read you a little definition
epiphanous,4,3,epiphanies,likely misspelling / mishearing,salon-029,"erface, a metaphysical snapshot of a joyful, epiphanous frenzy.  Note the refractive smoke bubble pi"
ecopsychology,4,1,,"check: unusual word, term or non-English",salon-063,t a lot some of you know my background is in ecopsychology so I'm always interested in how they work ho
colorama,4,4,Colorado,"check: unusual word, term or non-English",salon-061,quares were a brush that is in the program I colorama there are a number of hundreds of brushes th
banksy,4,4,Banksy | banks | bank's,likely misspelling / mishearing,salon-025,it. But if you want me to- It's the month of Banksy. Why not keep it going? If you want to be ad
wird,3,2,word | weird | wild,"check: unusual word, term or non-English",salon-046,"omes from the, it comes from the German word wird. Which, you know, the three, you know, the f"
vaporwave,3,2,vaporware | vapor wave | vapor-wave,likely misspelling / mishearing,salon-107,"it became a YouTube channel mostly featuring Vaporwave. At some point, I even leased a broadcast TV"
tter,3,1,tier | utter | otter,"check: unusual word, term or non-English",salon-036,"e to New York. And as you can see, this is Mütter. I did in almost two years before. Yeah. Thi"
transdisciplinary,3,3,,"check: unusual word, term or non-English",salon-018,"t is Uli Ap, hailing out of the UK. She is a transdisciplinary artist working at the intersection of art, s"
tractography,3,1,,"check: unusual word, term or non-English",salon-032," Ducreux. And very interestingly, he uses MR tractography. This is a specific MR technique that knows "
tos,3,1,too | top | ton,"check: unusual word, term or non-English",salon-059,lso the case like even even if you do sign a tos in terms of service and people agree to the 
techy,3,2,tech | techs | techie,likely misspelling / mishearing,salon-095,"e of us, like people say, oh, Raj, you're so techy. Had nothing to do with like knowing how to "
techism,3,1,techies,likely misspelling / mishearing,salon-036,ad slight discussion about a movement called techism from Krista Kim was a founder. I've personal
synthropic,3,1,,"check: unusual word, term or non-English",salon-102," York City. Each walk highlights a different synthropic animal, and you might ask yourself, what are"
synergetics,3,2,synergetic,likely misspelling / mishearing,salon-020,"d about through Fuller's writings, you know, synergetics, it's important. So I went through different"
stevemiller,3,3,,"check: unusual word, term or non-English",salon-011," a matter of fact, I got my internet. I have stevemiller.com, if you can imagine that. And that's bec"
squarespace,3,1,square space | square-space | squares pace,likely misspelling / mishearing,salon-077,"sing imguire, or for in my case I'm using my squarespace account and I've got all my images saved on "
sketchfab,3,1,,"check: unusual word, term or non-English",salon-110,und the lake those are glbs that I used from sketchfab I didn't make it myself because I was new to
seward,3,1,Seward | reward | steward,likely misspelling / mishearing,salon-012, know if any of you have been there but it's seward johnson's sort of pet project he was he fanc
serratium,3,2,serration | seriatim,"check: unusual word, term or non-English",salon-021,"pretty representational. So working with the serratium, I put in backgrounds from my earlier painti"
rockable,3,2,Rockwell | lockable | rock-able,"check: unusual word, term or non-English",salon-090," finished doing my presentations, I made the rockable, the movable ceiling, the cones, balloons, a"
raz,3,3,ran | raw | ray,"check: unusual word, term or non-English",salon-039,Getting back to what raz and david and lee were talking about the eph
rareable,3,3,rare able | rare-able | rarefiable,likely misspelling / mishearing,salon-014,es the same same thing I have two minutes on rareable and like 13 or 17 semi you know on open c wa
plov,3,2,plot | plow | ploy,"check: unusual word, term or non-English",salon-074, Carolina. This is a wonderful hot table and plov.  Make your own plov bowl. So I'm just givin
pigmentosa,3,3,pigments,likely misspelling / mishearing,salon-037, some health issues myself. I have retinitis pigmentosa and glaucoma. And so what happens is that I 
photoliminalism,3,2,,"check: unusual word, term or non-English",salon-027,"ied my digital, my technological photography photoliminalism.  And our book came out in 2020, in October "
pandemia,3,2,pandemic,likely misspelling / mishearing,salon-032,really have an idea about this quantity of a pandemia. Yeah. And then I thought I have to do an ar
ossevato,3,1,,"check: unusual word, term or non-English",interview-021,rking on for three to four years and we call ossevato in context which is a career survey from 77 
orific,3,1,,"check: unusual word, term or non-English",interview-021,o make. I didn't know how he made these zoom orific tessellation so I made. I went there every d
nonfungible,3,1,non-fungible | non fungible,likely misspelling / mishearing,salon-017,"ar? SuperRare. SuperRare. I mean, go look at nonfungible.com and tell me the sales of each and every "
neptorian,3,2,Neptunian | Nestorian,"check: unusual word, term or non-English",salon-031,hey've been working together on this project neptorian so I'm just going to read what you have to s
negeen,3,1,neg.,"check: unusual word, term or non-English",salon-026,avebes we have going to havearazally we have negeen and brandon's I believe yes yep yes like
mem,3,1,me | mom | nem,likely misspelling / mishearing,salon-055, platform. The app I use that I can actually mem my music so I can start from presentation. Y
medianstream,3,2,median stream | median-stream,likely misspelling / mishearing,salon-072,"ured works on our website. The website is 150medianstream.com. And on the archive page, there's a lot "
mccluhan,3,2,,"check: unusual word, term or non-English",salon-048,You know this is this is mccluhan you know in other words it's like you know i
mainnet,3,2,Maine | main net | main-net,likely misspelling / mishearing,salon-014,re you know that are written to the ethereum mainnet blockchain and that particular document if y
madison,3,2,Madison | Maddison,likely misspelling / mishearing,salon-046,ign but they're currently having an event at madison uw madison the day we are so we're not you k
lorraine,3,2,Lorraine | Loraine | loraine,likely misspelling / mishearing,salon-019,in cleveland and here I had bird counts from lorraine county which is where I live I had a bird co
lightbox,3,3,Lightbox | light box | light-box,likely misspelling / mishearing,salon-013," one was shown in New York in a place called Lightbox, I think it's called. And so it was projecte"
interschool,3,2,inter-school | inter school,likely misspelling / mishearing,salon-088," all artworks exhibited online second event. Interschool expressionist, digital collaborative project"
generativity,3,3,generatively,likely misspelling / mishearing,interview-006,"t this point is, you know, AI and glitch and generativity and all these sorts of things, which is kind"
ganas,3,2,gains | Dana's | gainers,likely misspelling / mishearing,interview-006,ng that and spalter is working with and carl ganas and so the thing is then carl ganas and intr
freakers,3,1,freaks | breakers | freezers,likely misspelling / mishearing,salon-076,erience of it and then there were also these freakers that I think the that originated I just actu
fran,3,3,Fran | ran | fren,likely misspelling / mishearing,salon-031,"e with that oh yeah question from michael hi fran michael price Let me see.  Well, maybe a que"
favourite,3,3,favorite,likely misspelling / mishearing,salon-033,I minted back in February and it's one of my favourite pieces. It's kind of about the power of the 
epigenetics,3,2,epigenetic,likely misspelling / mishearing,salon-056,"source material is emotional in the sense of epigenetics. I believe we all.  Have imprints, generatio"
electronism,3,1,electrons,likely misspelling / mishearing,salon-107,eans and modern technology. My art is called electronism.  My style freely borrows from pop culture a
digitality,3,3,digitally,likely misspelling / mishearing,interview-004," of art as a physical entity and virtuality, digitality. And I think it's this third space which is "
digitalism,3,1,digitalis | digitalis's,likely misspelling / mishearing,salon-054,hat term. And along in there was the idea of digitalism. Digitalism doesn't sound as artistic as tax
davobradleyart,3,1,,"check: unusual word, term or non-English",interview-005,yet but the majority of my artwork is at www.davobradleyart.net my instagram is also davobradleyart my f
chet,3,1,Chet | chat | chef,likely misspelling / mishearing,salon-100,ato actually proofread our the uzbek because chet without being able to read it because chet G
artbase,3,2,artless | art base | art-base,"check: unusual word, term or non-English",salon-016, check it out. It's I think it's rhizome.org.artbase or it's artbase.rhizome.org.  Yeah. They jus
youtubers,2,2,you tubers | you-tubers,likely misspelling / mishearing,salon-028,ke personalized like you'll see like popular youtubers endorsing a product like a brand will reach 
xp,2,2,,"check: unusual word, term or non-English",salon-019,running it on a mac that was running windows xp oh my what I had and so I recoded much of it
wozniak,2,1,Wozniak | wooziness,likely misspelling / mishearing,salon-076,m but the inventor of the blue box was steve wozniak designed and built by steve wozniak and mark
wachowski,2,2,,"check: unusual word, term or non-English",salon-032,"uld say. This is a friend of mine, Christoph Wachowski, who did this painting actually with colored"
vqgan,2,2,vegan,likely misspelling / mishearing,salon-035,m but the search term would be would be this vqgan plus clip yeah okay that would be the search
vpn,2,2,von | van | vin,"check: unusual word, term or non-English",salon-015,t's hard to buy Tezos or Tez. You may need a VPN if it's not available where you are. I see. 
volun-telling,2,1,,"check: unusual word, term or non-English",salon-038," blasts. I mean, we might just have to start volun-telling people. All right. Victor, you're presenting"
vishwati,2,2,,"check: unusual word, term or non-English",salon-008,s and master's degree in textile design from vishwati shantiniketan at west bengal india it is fou
vfriends,2,1,friends | friend's,likely misspelling / mishearing,salon-049,"ly Christiana Paul retweeted something about vFriends, like is vFriends art or not? And I think he"
verneta,2,3,Verne,likely misspelling / mishearing,salon-060,ons are kind of like and I was speaking with verneta about this you know there's a lot of people 
variousartistrecords,2,1,,"check: unusual word, term or non-English",salon-109,"the wrong, the, the, the wrong URL. It's www.variousartistrecords.com.  And there is information about my show"
ultraspace,2,2,ultra space | ultra-space | ultras pace,likely misspelling / mishearing,salon-081,"derstanding what happens in Alt, it's called ultraspace. So what happens in outer space and let most"
tweening,2,2,tweeting | twinning | twining,likely misspelling / mishearing,salon-064," to create the animation by a process called tweening, where each one of these elements is in a di"
tronics,2,2,trunks | tropics | tonics,"check: unusual word, term or non-English",salon-088," think 80, 85, or something like that on our tronics that predated The color, Max."
trevor,2,3,Trevor | tremor | trover,likely misspelling / mishearing,salon-014,different people but there's an artist named trevor jones who you know if you google him you'll 
techpresso,2,1,,"check: unusual word, term or non-English",salon-109,"it, I'm gonna try to pronounce it correctly, techpresso.  Have any of you heard of techpresso? Let m"
tandy,2,2,Andy | candy | handy,likely misspelling / mishearing,salon-048, computer engineer actually I was I was with tandy corporation I was in their qa thing and then
sperberg,2,2,,"check: unusual word, term or non-English",salon-040,gazine called electronic directions by roger sperberg and they had interviewed al gore who had jus
sobre,2,1,sober | sore | sorb,likely misspelling / mishearing,salon-057,ar remains una fresca da huge preocupaciones sobre humans ¿ influenza world en medio de toda es
skelebots,2,1,,"check: unusual word, term or non-English",interview-013,is completely okay cool so the deal with the skelebots is like I said this is kind of my way to dif
shopify,2,1,Shopify | choppily,likely misspelling / mishearing,salon-084,integrate directly with other platforms like shopify Etsy. Also through. There's sort of like a c
shlane,2,1,Shane | shale | silane,likely misspelling / mishearing,salon-052,ther hard sciences are anchored to this rock shlane tells us revolutionary art and visionary phy
shakti,2,1,shake | Shasta | shaky,"check: unusual word, term or non-English",salon-024,s one of the theme for one exhibition called shakti shakti means power so we have one goddess is
seratium,2,1,seriatim,likely misspelling / mishearing,salon-084,"f paper, and I started drawing, and that's a seratium, a kind of plankton. And there's the Seratiu"
segs,2,1,sets | legs | sees,"check: unusual word, term or non-English",salon-009,"verybody. Yeah, and they kind of, it kind of segs, thanks Davo, it kind of segs because into t"
sedent,2,1,sediment | sedan | sedans,likely misspelling / mishearing,salon-107,"to make any changes. And after that, I use a sedent or a cling. It's really nice to work.  It's "
scooch,2,2,scotch | smooch | scorch,likely misspelling / mishearing,salon-074,", here's one of my pieces. I'm just going to scooch a little bit forward, because the thing I wa"
schmidt,2,2,Schmidt | Schmitt | stemmed,likely misspelling / mishearing,salon-020," did a collaboration with my friend, Bastien Schmidt, at the Southampton Art Museum.  And my piec"
schlain,2,2,Stalin | Sakhalin | stallion,"check: unusual word, term or non-English",salon-051,called again art and physics yeah by leonard schlain I'll put it in the chat it's
schaefer,2,2,Schaefer | Schaffer | Schafer,likely misspelling / mishearing,salon-041,"ect that I worked on with a guy named Nathan Schaefer, who's now doing climate-based comic books w"
runer,2,1,ruler | runner | tuner,likely misspelling / mishearing,salon-035,"ustria. During that time, I went to a lot of runer and castle.  And the runer I saw a fight goa"
rugpano,2,1,,"check: unusual word, term or non-English",salon-024,"nother aspect of this that some of the older rugpano people. Talk about is like here where. Oh, i"
ros,2,2,row | pros | aros,"check: unusual word, term or non-English",salon-013,know working in an agency so I've been there ros has been there you know I mean yeah that's w
rory,2,2,Rory | Roy | Tory,likely misspelling / mishearing,salon-008,now the piece I think it was Michael Pointer rory rogers and you know there are things in ther
rocco,2,2,Rocco | Rocio | rococo,likely misspelling / mishearing,salon-032,". For instance, this beautiful painting from Rocco Valente from Italy shows this gentleman with"
robertson,2,1,Robertson | Roberson,likely misspelling / mishearing,salon-067,he difference between the truth or the lie.  Robertson.com robertson.com pretty interesting. Moce a
rewilding,2,1,rewinding,likely misspelling / mishearing,salon-046,edia okay so in other words the idea of like rewilding spaces or then how can we how can we you kno
renat,2,2,rent | Rena | Renae,likely misspelling / mishearing,salon-057,"ommunicated well enough. So thank you again, Renat. All right, moving right"
rec,2,2,red | rep | sec,"check: unusual word, term or non-English",interview-029,"o the band, so… I have no idea where all the rec… you know?"
realised,2,1,realized,likely misspelling / mishearing,salon-107,fixed but fluttering from one to the next. I realised that this was my architectural training. Wit
rationism,2,1,rations | rationalism,likely misspelling / mishearing,salon-014, know like I think that the initial show tax rationism 2021 you know the nft show sort of just came
rabboni,2,2,ribbon | ribbony,"check: unusual word, term or non-English",salon-032,"And I draw. I draw from the shoulder. And my Rabboni continuously interrupted me and said, just c"
presuprisk,2,1,perspires,"check: unusual word, term or non-English",salon-029,efore sharing accessibility features such as presuprisk presuprisk at Bowling Green State University
presuplegacy,2,1,,"check: unusual word, term or non-English",salon-026," very, it's very, very interesting. Yeah. I, presuplegacy was sort of where we left off about how many"
preocupaciones,2,1,,"check: unusual word, term or non-English",salon-057,aver navigate tar remains una fresca da huge preocupaciones sobre humans ¿ influenza world en medio de t
precarity,2,1,precocity,"check: unusual word, term or non-English",roundtable-002,"t's kind of representative of this moment of precarity that we do have, that we're all sensing, whe"
polycast,2,2,polecats,"check: unusual word, term or non-English",salon-075,ecorded interview with Helen Harrison of the Polycast recently. And Patrick Lichty sort sort of ca
politicals,2,2,political | politically,likely misspelling / mishearing,salon-041,as far as and being kind of cognizant of the politicals going on here about doing anything about the
pocus,2,2,focus | locus | pouches,likely misspelling / mishearing,salon-089," to that technology or did you do some hocus pocus, something else? No, no. There's a couple of"
patlichty,2,1,,"check: unusual word, term or non-English",presentation-007,her initiatives in Uzbekistan. My website is patlichty.com and neginete.com and we currently live i
parabolics,2,1,parabolic,likely misspelling / mishearing,salon-082,"ad. I had one for a long time, the one those parabolics that you, you put over something, and you it"
paperwhites,2,1,paperweights | paper whites | paper-whites,"check: unusual word, term or non-English",salon-025,l get that sort of functionality because the paperwhites are like really scaled down bare bones versi
oppressionism,2,1,oppressions,likely misspelling / mishearing,salon-054,"his idea, you know, and ultimately, like tax oppressionism is just a word. It's just a term that's, you"
olson,2,2,Olson | Olsen | orson,likely misspelling / mishearing,salon-037,ternet and a colleague of mine named Marissa Olson did these pieces where she did drawings from
objectness,2,1,objectless | abjectness,likely misspelling / mishearing,salon-034,"now, I think it's interesting to think about objectness and rarity. Like I've seen some things where"
non-american,2,1,non-americano | non-americas,likely misspelling / mishearing,salon-071, a non. That's a very U.S. Centric term in a non-American node. Because Lee is also in a non-American 
nintendo,2,2,Nintendo,likely misspelling / mishearing,salon-009,like this one is you know baby jesus playing nintendo on mary probably a little sacrilegious to so
nihilismo,2,1,nihilism | nihilism's | nihilisms,likely misspelling / mishearing,salon-045,asically this was my very first piece batman nihilismo of I believe of 2021 to my most recent creat
nevermind,2,5,never mind | never-mind,likely misspelling / mishearing,salon-018,"hink, essentially. No, no, I didn't miss it. Nevermind.  It's, it's, I wasn't actually expecting th"
neginete,2,1,,"check: unusual word, term or non-English",presentation-007," Uzbekistan. My website is patlichty.com and neginete.com and we currently live in Winona, Minneso"
mudras,2,1,madras | Audra's,likely misspelling / mishearing,salon-033,"t to take up too much time. Oh, I have these mudras. These are yoga mudras. Oh, and I have them "
