type,recording,context
same word twice in a row,salon-012," the structures are surrounded by.  You know, the plastic plastic and air in a very basic kind of way. It is, you c"
a / an mismatch,salon-012,of the building and all that stuff. And there was a utopian moment. We were going to live in plastic h
same word twice in a row,salon-012,nowhere so.  It just shows that when you're doing anything anything authentic and interesting comes up it's a threat 
sentence starts with a lowercase letter,salon-012,"f you.  And there was one last related... Oops... ities. … Seemed almost figurative. Like you could, "
same word twice in a row,salon-012,rect and when as was being shown.  Earlier with a beautiful beautiful bubble chamber. And I don't know what you what I'
same word twice in a row,salon-012,"fit data on there. So we created a 3D interactive environment environment, fully immersive, that was based around the group"
doubled punctuation,salon-012,you'll see that these are the results of the ities.. These are things that you would never see as a re
same word twice in a row,salon-013,"be this is a door that's going to open a lot more than than than just what we're seeing today.  I mean, I thi"
same word twice in a row,salon-013,", along with all the gallery visits, and many our discussions discussions and even arguments lead me to a whole new underst"
same word twice in a row,salon-013, it's all different thing or I was hearing to our dialogue dialogue with Ross who I think she helped me a lot to feel
a / an mismatch,salon-013,"a part of a bigger picture and start to exist. As a independent, beautiful existence themselves when y"
same word twice in a row,salon-013,"se you can get them on Amazon. That online place, Ali Ali. Ali express or Alibaba. That's it. Yes. So I've "
same word twice in a row,salon-013,"use I'm literally like on my devices all the time thinking thinking and talking about this stuff.  And, you know, it'"
same word twice in a row,salon-013,nto a corporation but the fact that you have that experience experience and a lot of us have talked about how we work in 
same word twice in a row,salon-014,Fun all right welcome welcome to our what's this 14 13th 14th I think it's is i
same word twice in a row,salon-014,the schedule so stay tuned for that yeah and what welcome welcome and thanks for being here I think I'm going to no
a / an mismatch,salon-014, 10 15 ish or so minutes have a little bit of a q a after that and then following that we're going to 
a / an mismatch,salon-014,a lot of years of photography I had a business as a analog photographer I used black and white and inf
same word twice in a row,salon-014," was able to do that. Like Sherry, I'm pretty low tech tech, so I don't... This was done on word processing a"
same word twice in a row,salon-014,n c which is a very you know kind of like a cross-platform platform so to speak for nfts that indexes all the differe
same word twice in a row,salon-014,hat want to participate so yeah I'm keeping track great great that sounds good yeah I don't think any of us who
same word twice in a row,salon-014,e and be in you know and be able to chat about it next next time we have I believe it's so we have Andrea Bon
same word twice in a row,salon-014,in an auction in hong kong but I believe the drop happened happened on nifty gateway is pretty remarkable shocking ac
same word twice in a row,salon-014,ause right now what's happening is you have these curated curated platforms well rare rareables not really curated 
same word twice in a row,salon-014, initial gas fee thanks to sue buyer she actually let let let us know about that you know so I jumped on an
same word twice in a row,salon-014, it's the wallet that's used to for the contracts rarible rarible does the same same thing I have two minutes on ra
same word twice in a row,salon-014,sed to for the contracts rarible rarible does the same same thing I have two minutes on rareable and like 13 
same word twice in a row,salon-014,so like you know I think that's also a big reason why why nft people are gravitating towards twitter and al
same word twice in a row,salon-014,e sort of like a disclaimer.  Yeah. It's like the Wild Wild West right now. It really is. And I think you kno
same word twice in a row,salon-014,g time so it's nothing new it's nothing native to digital digital art you know what I mean it might be the dealer y
same word twice in a row,salon-014,ing curated platforms and verification procedures yep yep yep I agree that a lot of the controversial issue
same word twice in a row,salon-014,istributed whatever percentage to the gallery and whatever whatever percentage to the artist without any hassle whats
a / an mismatch,salon-014, I mean it's not a new story it is literally just a another way to market like that is that is a marke
a / an mismatch,salon-014,ebrity would even take one like I think there was a issue that happened with like chris brown a couple
doubled punctuation,salon-014,"ey're, they're getting ready to do a public option,, option.  And they, and I guess as a result of the"
same word twice in a row,salon-015, out of each strand of wool and the point of this hundred hundred minute work is that none of these moments repeat 
same word twice in a row,salon-015,is ideas this one's four hours long again there's every every moment is unique through the whole work and that'
same word twice in a row,salon-015,ill be on the itunes app store a little bit retro making making that work artwork app in a sense but it's an exci
same word twice in a row,salon-015,came very ordered and now we've all got access to incredibly incredibly precise time and with digital clocks and watches 
same word twice in a row,salon-015,"I walk up and say, so what do you think?  But the word word mesmerizing comes up, you know, the idea of being"
same word twice in a row,salon-015, paper putting that on a permanent substrate yeah sure sure sure sure sure now speaking of patrick yeah I kno
same word twice in a row,salon-015,ting that on a permanent substrate yeah sure sure sure sure sure now speaking of patrick yeah I know now we'r
same word twice in a row,salon-015,he stuff that I was doing with machine drawing in during during graduate school so I think what's interesting is 
same word twice in a row,salon-015,"nd, you know, he's been doing some stuff with the wilted wilted wilted also have a interview coming up because I "
a / an mismatch,salon-015,ome stuff with the wilted wilted wilted also have a interview coming up because I actually did an inte
space before punctuation,salon-016,"building sometime this summer. And this is Quaft.  . Oh, this is Fame. Sorry. Wrong one. Let me stop t"
same word twice in a row,salon-016," Kodak lumen. Can you see I'm trying to see if my camera camera has my thing. Anyway, but this Kodak Luma 350 and"
same word twice in a row,salon-016,and to really expand your expression.  It's has a looks looks great. Yeah. It's a lot of potential coming acros
doubled punctuation,salon-016,r story. And her interaction with other characters.. And I think it's a really good one.  And I think 
same word twice in a row,salon-016,"Next up is Gary Mike Mike All right, I guess Do the share screen All right,"
same word twice in a row,salon-016,ks Or you go in and manipulate the photograph and paint paint and the colors and the richness that you want and
same word twice in a row,salon-016,I couldn't tell but I assumed that you had either beveled beveled some of your layers or added some shadows in ther
a / an mismatch,salon-016,for me and it's like you know it's not as much of a away from the room thing as it is it's not as much
doubled punctuation,salon-016,"ing. And that, it seems like it's a constant fight.. To get it one way or the other. This one is, Sham"
same word twice in a row,salon-016,"you know, synergy of visibility, kind of like the NFT NFT show being during freeze, you know. So in other w"
same word twice in a row,salon-016,"s kind of different. So what happened is, is that last last edition we had we had, you know, we had what we c"
a / an mismatch,salon-016,"tle bit, folks.  This is a CD I did in 1995. It's a animated piece called ""'The World's Greatest Bar C"
a / an mismatch,salon-016,do is he's trying to build a he's trying to build a artist's social media platform.  And that in the e
a / an mismatch,salon-016,d and the world.  I just did. I'm just coming off a almost ending two week writers conference here in 
doubled punctuation,salon-016,"to put out there that, you know, like Patrick just,, did his first interview with Greg Little, who is "
a / an mismatch,salon-017,"y, but most of it is fairly basic math. It's just an part of the problem could be that my coding style "
same word twice in a row,salon-017,", Ethereum is so cost and effective for people to start start throwing their hat in the ring for getting into p"
same word twice in a row,salon-017,set my site up. It's a WordPress based site. So I use use WooCommerce as an e-commerce platform. And it's j
doubled punctuation,salon-017,"ers real name was Leonard Sly. See, he wasn't real.. And I know he had an interesting interaction with"
doubled punctuation,salon-017,acking? I didn't quite catch that. Nonfungible.com..com. Okay. Fabulous. Yeah. Yeah. They do every... 
same word twice in a row,salon-018,"onding to you. So you feel, you feel confused and disoriented disoriented in between those things.  And like at the end, ar"
same word twice in a row,salon-018,"versity digital storytelling lab is like a really amazing amazing place. If you guys never got in touch with them, "
same word twice in a row,salon-018,eces thank you so much for this actually a really lovely lovely question so I'm going to use it in the second sta
same word twice in a row,salon-018,yone is interested in presenting or oh we do have lee lee musgrove wanted to present also next time so yeah
same word twice in a row,salon-019,erent and here is a quick oops what did I just do here here's a very quick video of that presupích So that gi
a / an mismatch,salon-019, piece was over 13 14 minutes so that's a kind of a image of the wall in my studio the kind of ideatio
same word twice in a row,salon-019,you know hopefully maybe you know this is just an amazing amazing opportunity for all of us I think you're gonna ha
a / an mismatch,salon-019,here's ones written almost from a you know almost a alliterative you know perspective and I think the 
a / an mismatch,salon-020,"cilitate that, please raise your hand if you have a audio question that you want to ask. And then I'll"
same word twice in a row,salon-020,"sual music or, you know, it's an, a known unknown form form idiom. It has its own history. A lot of amazing w"
same word twice in a row,salon-020,"r those of us who have been sort of been involved near Near the beginnings of these things, the limitations.."
same word twice in a row,salon-020,ment that actually is a cosmic happening you know every every second is it is we're in the inside this you know
same word twice in a row,salon-020,ofessional photographers here and there thank you sure sure all right thank you for your question michael and
a / an mismatch,salon-020,"mple of that. This is that same scene rendered in a illustrator-like application called Artworks, whic"
a / an mismatch,salon-020,er I'm doing is kind of like just a little bit of a almost like a haiku or a poem as a subset of that 
same word twice in a row,salon-020,built in Manhattan like for playground structures Tommy Tommy that's you we're asking you Tom I'm sorry I'm sor
same word twice in a row,salon-020,se I've been familiar with your work for you know since since early 90s and that sort of thing so it's really g
same word twice in a row,salon-020,I think one of the things that I find like really paradoxical paradoxical about it is it's literally just circles. It's lik
same word twice in a row,salon-021,n't scared because I was like three feet from the boat boat if I'd been really far away.  But I was really cl
same word twice in a row,salon-021,media has become so rapid and fluid that you know things things like this community have you know have re-engaged
same word twice in a row,salon-021, I go to japan every year of course I've lived in france france is not a different not different I mean it's like
same word twice in a row,salon-021,etimes you know there's this feeling of maybe not being being seen you know by the what I'd say the larger cont
same word twice in a row,salon-021,ve the floor thank you I just something quick for renata renata I'm bowled over by your work absolutely fantastic
a / an mismatch,salon-021,"a Disney cruise. They mean like bunk beds, almost a almost a submarine sardine situation, not somethin"
same word twice in a row,salon-022, our world. We see that this democracy of art can reach reach many audiences. This is a segment of a piece call
same word twice in a row,salon-022," in, in making games, is there a reason why. You. Let let the characters like walk through the geometry. It"
a / an mismatch,salon-022," you. Thank you for your question, Colin. We have a another question from. I'm not sure if I guess tha"
doubled punctuation,salon-022,"reen with a huge music system. That's our favorite.. And I do think that again, probably quite a bit o"
same word twice in a row,salon-022,ust as a side note you know to see people younger people people like yourself and Davo who sort of like you know 
same word twice in a row,salon-022,lse that you wanted to add or not really you know awesome awesome salon and definitely like you know like I said in
same word twice in a row,salon-023,be able to buy a print at least Some artists have actually Actually gotten the habit of actually selling an Oculus lo
same word twice in a row,salon-023,s this time and again inserted these textures the tree tree talk and on the gold at the golden hour can sprin
same word twice in a row,salon-024,s again digital collage on that I have used these small small colors these are seven colors actually that I hav
same word twice in a row,salon-024, inside my house so if you see it's almost like a small small rectangular house concepts and I have woven this 
same word twice in a row,salon-024,is was one of the theme for one exhibition called shakti shakti means power so we have one goddess is called durg
same word twice in a row,salon-024,ng this I have given pixelating relations because slowly slowly after some time it became like now what to do eve
same word twice in a row,salon-024,"ay used to get over when night and sometime I was sleeping sleeping at 6 o'clock morning, getting up at 2 p.m. Change"
a / an mismatch,salon-024, have showed is my previous work just to give you an background about what I was doing earlier till 200
a / an mismatch,salon-024, only that I have created the coconut like a like a earth so I'm cutting that and everything is bursti
same word twice in a row,salon-024,ity and there's happens to be right a block maybe three three blocks from my house is this is a statue of an an
same word twice in a row,salon-024,d then I found the rogue pano group and so and on facebook facebook and I'm like there's a rogue pano group which act
same word twice in a row,salon-024, get the movement to include little piece areas?  Another another aspect of this that some of the older rugpano peo
same word twice in a row,salon-024,se gloss or semi-gloss and then on clear metal or white white I definitely use the white and I like semi-gloss 
same word twice in a row,salon-024, gloss I always go for like mid or semi yeah semi mid mid glass semi glass is definitely the way to get tom
same word twice in a row,salon-024,mes from renata who is asking have you ever tried using using flash on like a super cloudy day early cloudy day
same word twice in a row,salon-024,"ve the flash on so I'm like oh oh there's a flash good good morning, you know, and, but I haven't figured a w"
same word twice in a row,salon-024,"t idea. I'm going to try somehow.  That's, that's also Also, thing we're good at, making suggestions or givin"
same word twice in a row,salon-024,don't know if you can see this yeah but like this line line never ends and I either put black on one side or 
same word twice in a row,salon-024, it I was like okay now I have like I have like a thick thick body of these and I now I'm gonna be able to blow
same word twice in a row,salon-024,ry in Toronto like government sanctioned and like high high end A-list artists and I didn't know any of the a
same word twice in a row,salon-024,e a friend who came to the show with me who was a bit bit of a mucky muck and she was like do you know who'
a / an mismatch,salon-024,"Olympus C 50 50 or something like that, which was a each. Each building is actually like 16 feet wide."
a / an mismatch,salon-024,res of people in their buildings because I'm such a urban voyeur here but I love imagining what people
same word twice in a row,salon-025,e easy to just send my email of my artwork.  It's generally generally the easiest thing you don't have to pay for a shi
same word twice in a row,salon-025,have already decided they want to pick up so yeah six six four five great project Davo thank you very deep 
a / an mismatch,salon-025, that I was working on or have been working on is a artist book slash book of short poems slash short 
same word twice in a row,salon-025,e have oh TinTin23x yes I'm sorry tintin wants to share share their work so are you are you there tintin no yes
same word twice in a row,salon-025,r a shot making collages on color xeroxes this is early early 90s and at the time I was oh I was really happy w
doubled punctuation,salon-026, connect with each other and produce great artwork.. In a virtual context.  So that gave rise to this 
doubled punctuation,salon-026,"s one, but I can tell my one, my, I have given the,, though vibration word I added because, as I said,"
doubled punctuation,salon-026,"blooming sky and, the other one, I'm sorry. I just,, blue eyes. And it's also the, they take it, dance"
doubled punctuation,salon-026,"that's the reason that's the last work we did. And,, and these are the photographs I have taken. I mea"
same word twice in a row,salon-026,yeah the person in the moon person yeah to me the whatever whatever the gender may be of this person they almost look
same word twice in a row,salon-027,trospective and all that good stuff and then fast forward forward between that time because I was 2014 when I gradu
same word twice in a row,salon-027,acom tablet my first drawing tablet because I had always always always want to create like actually be able to sk
same word twice in a row,salon-027, there was this moment during the pandemic. I was unemployed unemployed at that point because I lost my job. I was workin
same word twice in a row,salon-027,his is where I need to be like this is a style or something something close to this style is something where I want to 
same word twice in a row,salon-027,not even all be in the same style but it's almost always always always representative of the same idea of the wor
same word twice in a row,salon-027," not I think he's Ethiopian I'm not sure. Abraham Elsa Elsa hot Elsa Lahi. And a lot of your work. See, just "
same word twice in a row,salon-027,want to jump I want excuse me I want to I want to jump jump in it's like I have always been so taken by the i
same word twice in a row,salon-028," place. Yeah. Yeah. Oh, makes tier because it's a local local and that allows people understand kind of what th"
a / an mismatch,salon-028,ting virtual reality here but I feel like there's a interesting set of ideas that you know we're sort 
same word twice in a row,salon-028,This is the first time in a minute that we've had almost almost a full hour left over. So I'm at a bit of a loss 
same word twice in a row,salon-028,hinking that same thing like what if this went to once once a month you know I don't know like I feel like I 
a / an mismatch,salon-028, kind of like you know we were meeting sort of as a advisory board which would be sort of like you kno
same word twice in a row,salon-029,ces before sharing accessibility features such as presuprisk presuprisk at Bowling Green State University in Ohio. Over a
a / an mismatch,salon-029,"at. I think Nina had mentioned that she had a had a engagement.  So, I think we could lead off with he"
same word twice in a row,salon-029,g I'm very involved with now still currently on a global global warming. So I've been working with the so here in
same word twice in a row,salon-029,e smoke that's filling your lungs whether you can see see it or not. Just reminding that treating subjects 
space before punctuation,salon-029,as just kind of a speculative abstract piece and.  . So my connection to technology goes back to my ph
same word twice in a row,salon-029,s I was kind of thinking about where the movement might might be going in the near future. I was just kind of a
same word twice in a row,salon-029,is space. I've been in commercial art all my life since since school. But it was the artistic practice came aft
same word twice in a row,salon-030,"rms introduced to the max. It's like I'm making a sculpture sculpture. And then. I'm putting it inside a nice, I don't "
same word twice in a row,salon-031, Yike. That is also a thing that does happen here sometimes sometimes the Wi Fi does not behave and technical difficult
a / an mismatch,salon-031," speaking a little bit later about that. And then a exhibition led by Giovanna, who's going to be talk"
sentence starts with a lowercase letter,salon-031,"ow. Just like trying to, trying to keep it chill. also if you guys have never heard of this bartholom"
same word twice in a row,salon-031, fan favorite big Ursula fan so I like octopus or octopi octopi I think octopi okay octopi so and the thing that'
same word twice in a row,salon-031,"d on it. I don't know if you can play it or not.  Womp womp. Ah, there we go. So I usually find like just wei"
same word twice in a row,salon-031, in the morning I hope that answers your question totally totally absolutely thank you so much oh we have a questio
same word twice in a row,salon-031,ay do you want to do some art event and I said oh wow wow that's good so I don't really just ask people do 
a / an mismatch,salon-031,"f the things that you've heard me talk about from a utility standpoint, we're really focused on this l"
a / an mismatch,salon-031,run interior design company in Taiwan. And I have a interior design for an ironic business and design 
a / an mismatch,salon-031, but somehow I just put in my own way. So this is a exhibition and shows I done in the past. I was rea
a / an mismatch,salon-031, what is a trans and a lot of people know what is a utopia but my trans utopia is it like I'm more spe
missing space after a period or comma,salon-032,"rious about the movement, you can also just visit www.Techspressionism.com and check us out. Or follow us "
same word twice in a row,salon-032,"ct patterns. The essence of it, it really is live experience experience. So, cause when we're creating, the content, the "
same word twice in a row,salon-032,p with talking a little bit about NFTs.  And I am represented represented by Postmasters Gallery now. They're like a bit bl
same word twice in a row,salon-032,e I'm finally there with these combining the live video video.  These figures. And right now I'm focusing again
same word twice in a row,salon-032,"this? Yeah, I can't tell. I'm sorry. Tell us Pure someone someone's asking for pure data software. Raise my hand. Y"
same word twice in a row,salon-032,"ou really just run, you know, you have to say all circuits circuits and then power into them and patch them in differ"
same word twice in a row,salon-032,te that term and kind of keeping that you know an open open definition yeah how long ago what was that how lo
a / an mismatch,salon-032,"orking as really like a performance like a video, a audio visual performance. And I like this is our w"
doubled punctuation,salon-032,"ually maybe I'm going to go back to that later. So,, and the work that we have, would, would EAI is al"
doubled punctuation,salon-032,"ng it. So throughout the years, we've always, done,, various prints and other objects that again are k"
same word twice in a row,salon-033, he had the idea of putting lights in and this is doing doing some construction work on it in his shop this is 
same word twice in a row,salon-033," else has any questions, they'll come back to you after after the other presentations. Maybe they're saving it."
same word twice in a row,salon-033,en everything is ready so it's time to let go and time time to kind of you know be present so this is what th
same word twice in a row,salon-033,t and they're both very different so I think it's quite quite literal what their meanings are it's just you kno
same word twice in a row,salon-033, their meanings are it's just you know being free being being and also being released from any pain so I do hav
same word twice in a row,salon-033, the description box but I'm sort of the themes I love love the desert I lived in Morocco for a long time and
same word twice in a row,salon-033,eir element. So I have my processes all about the concept concept and then bringing everything together. Technicall
same word twice in a row,salon-033,o at the same time yeah that's yeah you'd have to keep keep flipping between built-in and headphone and micro
same word twice in a row,salon-033, was an excerpt from the brain art book edited by Nigel Nigel Nigel Anton Nigel I'm sorry I'm sorry Anton I kno
same word twice in a row,salon-033, time so but if anyone is willing to stick around after after give our little outro and talk with nina or ask h
same word twice in a row,salon-033,ary the third fourth third somewhere around there fourth fourth fourth yep all right anyway again happy holidays 
doubled punctuation,salon-033,op and I could just get it off of there. But... Oh.. There it is. There it is. It's playing. All right
same word twice in a row,salon-034,o the gallery. Somebody called animal control and shut shut shut the show down and Jeannie Moss from CNN did 
same word twice in a row,salon-034,"and cools. It's done, but it but it happened at a specific specific time. And sort of an aesthetic that I had knowing"
same word twice in a row,salon-034,es down to each individual collector what they're looking looking for and then it's also the case that like for som
same word twice in a row,salon-034, that allow you to be able to book a meeting with someone someone like a celebrity and that's cooked into the nft a
same word twice in a row,salon-034,"because it's like, OK, maybe it maybe NFTs go the way way of the dodo, like what they just stop being a thi"
same word twice in a row,salon-034,"a that was. Established with NFTs.  Like, I mean, take take take what we've done with barcodes. Barcodes have"
same word twice in a row,salon-034, I'd say and I said this last year it's still the wild wild west with nfts right now there's just so much goi
same word twice in a row,salon-034,lize on or you couldn't authenticate or make what walter walter benjamin would refer to as the uniqueness of the 
same word twice in a row,salon-034,n to be in fluctuates so it's yeah well that's an interesting interesting property of nfts is the authentication it's an au
same word twice in a row,salon-034, or would I like to have the sculpture here? That might might be a way to differentiate some of the buyers here
same word twice in a row,salon-034,d that's why my home studio my monitor is set for digital digital prints because exactly of that backlit illuminati
same word twice in a row,salon-034,a serious collector they'd probably be willing to go go that way no infinite objects is like a solution e
same word twice in a row,salon-034,are of the what happens you'll get it's much like becoming becoming a clearinghouse for nfts building display systems
same word twice in a row,salon-034,"if you try to press them about that idea, you get short short circuits because they don't actually really know "
same word twice in a row,salon-034,p I think we totally have space we can make space anyway anyway anyway it would be easier to set up a real engine
same word twice in a row,salon-034,efinitely interesting okay conversation today for sure sure no visuals that was no yeah I think almost a firs
same word twice in a row,salon-034,d of mine she just found these a very interesting AI AI audio app this actually can you can create all ty
a / an mismatch,salon-034,"ey'd have their presentation, then there'd be a Q&A after presentation, and then the next presenter wo"
same word twice in a row,salon-035,t pop up museum in Taiwan. So I was able to win a many many bigger war. So I realized that you can actually l
same word twice in a row,salon-035,ling in the role. I find a lot of thing I was not able able to transport during traveling. So I decided to sa
same word twice in a row,salon-035, in tune with each other and then the next one is paris paris 1889 and I'll read that one okay paris 1889 there
same word twice in a row,salon-035,"t for the community. But he shared a photo of his great great-grandmother, I believe, in Oklahoma during the Du"
a / an mismatch,salon-035, with this Frank Marx kind of art. It became like a animal and the landscaping.  And also during that 
same word twice in a row,salon-036, up all right and with that I think dalton you're up up.
doubled punctuation,salon-036,"e live. Oh, fire out. Don't think that way. He's a,, I turned off, I turned off the video. It's actual"
same word twice in a row,salon-036,bled across this little bird carcass and that got included included in a lot of my digital work.  Dead birds in there
same word twice in a row,salon-036," that sold within 24 hours. And now this is the,, self self-portrait series that I put up there. So I'm waiti"
same word twice in a row,salon-036,"ine. Let me find what I didn't find. Here are the wilted wilted wilted, this is an example of, I like this, the t"
same word twice in a row,salon-036,"that's a really good thing. It's an open source,, AR AR toolkit and that sort of thing. So yeah. So anywa"
doubled punctuation,salon-036,"you some, physical paintings I did. And I had this,, this fat, I was looking for, a subject to focus o"
doubled punctuation,salon-036," sculpture into it. Yeah. And then I started doing,, painting on wood with gravel with digital paintin"
doubled punctuation,salon-036,"ece that sold within 24 hours. And now this is the,, self self-portrait series that I put up there. So"
doubled punctuation,salon-036," example of, I like this, the techniques to relate,, or my, my style to come through, no matter what m"
doubled punctuation,salon-036,"nt mediums with which to express these things. And,, yeah, it just keeps it interesting. Yeah. Right. "
doubled punctuation,salon-036,"nk that's a really good thing. It's an open source,, AR AR toolkit and that sort of thing. So yeah. So"
doubled punctuation,salon-036,"? Bill's got to get paid, dude. So I hear you, but,, you know, always appreciated and, and definitely "
same word twice in a row,salon-037,some of the adobe products but adobe arrow that's new new for me yeah I try I try anything new that they pu
same word twice in a row,salon-037,uld I show some of my nft screens experience does anybody anybody interested sure sure sure yeah I went quickly yea
same word twice in a row,salon-037,creens experience does anybody anybody interested sure sure sure yeah I went quickly yeah I was yeah and if y
same word twice in a row,salon-037,"f thing is that, you know, Chuck Close and I both used used that and there are a couple other ones that are a"
same word twice in a row,salon-037,"at's that but it's like, it's like, I'll just say here here's later tard here's Clifford still here's he's ki"
doubled punctuation,salon-037,"lter's hands. And there's another one going to the,, Computer Arts Society, collection in, in, in Lond"
same word twice in a row,salon-038,ate the story of the wires and the fact that this human human energy starts inside the body with this expressio
same word twice in a row,salon-038, don't you come off mute? I know you have a voice unless unless you're voice shy these days.  Hi. Hi. Is it OK to
same word twice in a row,salon-038,n group. They'd all love you. And they'd probably include include you in their next book.  For sure. I'll definitel
same word twice in a row,salon-038, I see it and the and my iPhone sees it. How this little little brain in there sees it in the in the square ones.
same word twice in a row,salon-038," scheme of things because of just I don't know it since since the development of suburban areas, it has literal"
same word twice in a row,salon-038,"uniform and together, but it seems like it's also pushed pushed away the idea of people actually being together. "
same word twice in a row,salon-039,"e is a digital artist. She does web work and that type type of work, but fine art. And this is an issue that "
same word twice in a row,salon-039, for video games.  It's a very interesting useful tool tool. That's also how some people have been able to do
a / an mismatch,salon-039,t's a piece of software that mimics or copies how a another piece of software supposed function so lik
same word twice in a row,salon-039,See see the other part about this group is that as much a
same word twice in a row,salon-039,nd when other people are talking because I'm sure many Many of us are having stream of all kinds of thoughts 
same word twice in a row,salon-040,ng in digital distinct and different in this time than than other forms of art. And we'll also talk about Tec
same word twice in a row,salon-040,"ing away from keyboard. In other words, you know, making making work and also a lot of I'm doing a continuing a l"
doubled punctuation,salon-040,"And I think lastly,, there's a series that was done in Cyprus for the "
doubled punctuation,salon-040,"al perspective. This is the, another scan from the,, from the old city, to, to Limassol. I think the s"
same word twice in a row,salon-040," right over here where I'm pointing in the bottom left left, I knew it would be folded.  So I incorporated th"
same word twice in a row,salon-040," on the chat that we're talking about, presenting anyone anyone else like to go now? I think, well, I'm going to "
same word twice in a row,salon-040,ing right in there as far as I was concerned like early early 2000s trip trance yeah
same word twice in a row,salon-040,Yeah definitely definitely techno music is usually what I'm listening to whe
same word twice in a row,salon-040,f these figures leaning into leaning into it in a way way back when and that's it that's all I really wante
same word twice in a row,salon-040,"he video, brave crashed and I queued up all these videos videos on there, so they would have."
doubled punctuation,salon-040,'s before you change the time. It was our 1030 p.m..
same word twice in a row,salon-040,"would accommodate this, the one thing is, is that unless unless you're talking about like Cynthia wanting to have"
same word twice in a row,salon-040,"now, I'm open to having them do it and very often people people can answer questions with a little bit of help in"
same word twice in a row,salon-040,". So I don't know. That's interesting to me. It's something something kind of it makes me feel like, you know, people c"
same word twice in a row,salon-040,I definitely definitely definitely.
doubled punctuation,salon-041,"me cases, politically, the sooner, the better. But,, anyway, so I did it. I, what I found on doing the"
same word twice in a row,salon-041,go river changed directions and everybody's going wow wow that's interesting yeah
same word twice in a row,salon-041,l with that would deal with the hurricane katrina before before I was where I pasted stuff onto the canvas you kn
same word twice in a row,salon-041,"logize to everybody in advance because especially after After that beautiful film that we just watched, the ser"
same word twice in a row,salon-041,e changes Climate changes Climate changes Climate changes Changes in the weather Changes Changes Climate Changes Cl
same word twice in a row,salon-041,te changes Climate changes Changes in the weather Changes Changes Climate Changes Climate Changes Clim-...ate Ch-ch
same word twice in a row,salon-041,Changes Climate changes Climate changes Climate changes Changes Chances Climate
same word twice in a row,salon-041,Changes Changes
same word twice in a row,salon-041,Changes Changes Changes Changes Changes We think that's changing 
same word twice in a row,salon-041,Changes Changes Changes Changes Changes We think that's changing the weather Chan
